date,ticker,side,price,shares,value
2022-02-04,ANET,BUY,30.579999923706055,0.0045705362611657046,0.139766998517743
2022-02-04,WSM,BUY,75.52083587646484,0.0012303937762516914,0.09292036643972779
2022-02-04,SNEX,BUY,29.386667251586914,0.006731655385911509,0.1978209168781344
2022-02-04,TROW,BUY,127.08170318603516,0.0006898181675596303,0.0876632676221476
2022-02-04,REGN,BUY,620.3008422851562,0.00016736932404678333,0.10381933267891696
2022-02-04,MEDP,BUY,171.75,1.0342689021253278e-17,1.7763568394002505e-15
2022-02-04,KLAC,BUY,362.33062744140625,6.831991911999223e-05,0.024754399161492913
2022-02-04,META,BUY,235.79638671875,0.054335099010813064,12.812020018755248
2022-02-04,AMAT,BUY,131.00717163085938,0.0018114668944354366,0.23731515434292305
2022-02-04,ON,SELL,57.41999816894531,0.0021323277515985185,0.12243825559237821
2022-02-04,DBX,SELL,24.260000228881836,0.0003467331728600741,0.008411746852946322
2022-02-04,BMY,SELL,56.43925094604492,0.0005614981905247032,0.03169053728077387
2022-02-04,RJF,SELL,105.33772277832031,0.0018120940946852288,0.19088186539418395
2022-02-04,HOLX,SELL,74.73999786376953,0.0011782173256641238,0.08805996040319286
2022-02-04,PANW,SELL,85.91666412353516,0.005163276937070502,0.44361153037908174
2022-02-04,AVGO,SELL,54.8661994934082,0.0009627594897981608,0.05282295423143779
2022-02-04,IT,SELL,294.6400146484375,0.00018860461755184534,0.05557046727823867
2022-02-04,MEDP,SELL,171.75,0.00023697163187154079,0.04069987777393713
2022-03-07,IT,BUY,257.510009765625,6.898205009649983e-18,1.7763568394002505e-15
2022-03-07,AVGO,BUY,53.05703353881836,3.34801386530705e-17,1.7763568394002505e-15
2022-03-07,PANW,BUY,88.9183349609375,1.9977396564843657e-17,1.7763568394002505e-15
2022-03-07,HOLX,BUY,71.6500015258789,2.4792139589259563e-17,1.7763568394002505e-15
2022-03-07,BMY,BUY,59.7219123840332,2.974380371441628e-17,1.7763568394002505e-15
2022-03-07,REGN,BUY,615.9495239257812,5.767864964254092e-18,3.552713678800501e-15
2022-03-07,RJF,BUY,89.98705291748047,0.0026466031347549945,0.23816001633876738
2022-03-07,DBX,BUY,20.670000076293945,0.01291793743163476,0.2670137676974509
2022-03-07,ON,BUY,53.52000045776367,3.319052362120393e-17,1.7763568394002505e-15
2022-03-07,MEDP,BUY,148.57000732421875,0.000674726774923215,0.10024416189218854
2022-03-07,SNEX,BUY,32.462223052978516,5.47207391342616e-17,1.7763568394002505e-15
2022-03-07,META,BUY,186.4471435546875,0.005644947033246291,1.0524842498662785
2022-03-07,TROW,BUY,114.9119644165039,1.5458415043378427e-17,1.7763568394002505e-15
2022-03-07,AMAT,BUY,115.41515350341797,3.0782038328227746e-17,3.552713678800501e-15
2022-03-07,WSM,BUY,65.80967712402344,0.0002822498738931734,0.018574773069206074
2022-03-07,ANET,BUY,28.612499237060547,6.20832463701532e-17,1.7763568394002505e-15
2022-03-07,ANET,SELL,28.612499237060547,0.028120343678744594,0.8045933120539601
2022-03-07,IT,SELL,257.510009765625,5.5780498949418455e-05,0.01436403682919618
2022-03-07,AVGO,SELL,53.05703353881836,0.022738669917788352,1.2064463724562167
2022-03-07,PANW,SELL,88.9183349609375,0.0233531741120176,2.076525358093475
2022-03-07,HOLX,SELL,71.6500015258789,0.0153415333450941,1.0992208875853144
2022-03-07,AMAT,SELL,115.41515350341797,0.0009016985910013465,0.1040696812942361
2022-03-07,REGN,SELL,615.9495239257812,0.0024986419902637376,1.5390373443639156
2022-03-07,BMY,SELL,59.7219123840332,0.03975247691850416,2.3740939435752075
2022-03-07,TER,BUY,104.88426971435547,0.10662331239612853,11.183108255193526
2022-03-07,KLAC,BUY,302.4274597167969,0.001617795358086864,0.48926574048783605
2022-03-07,ON,SELL,53.52000045776367,0.014176239597196496,0.758712349731324
2022-03-07,TROW,SELL,114.9119644165039,0.0034982685978618574,0.40199291663687475
